Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
"$1,000-$1,249",0,39,128,114,93,93,34,9,4,504,Melton (Vic.)
"$1,250-$1,499",3,18,71,82,69,48,16,3,0,308,Melton (Vic.)
"$1,500-$1,749",0,8,48,52,46,46,15,0,0,217,Melton (Vic.)
"$1,750-$1,999",0,0,37,46,35,19,10,0,0,143,Melton (Vic.)
"$2,000-$2,999",0,0,29,49,50,27,9,0,0,163,Melton (Vic.)
"$3,000-$3,499",0,0,5,12,11,3,0,0,0,32,Melton (Vic.)
"$3,500 or more",0,0,11,8,7,5,5,0,0,34,Melton (Vic.)
Personal income not stated,42,50,140,116,104,96,79,70,19,732,Melton (Vic.)
Total,426,447,1075,1033,953,911,1019,495,109,6467,Melton (Vic.)
Negative/Nil income,48,5,14,8,8,23,15,8,0,116,Golden Point (Ballarat - Vic.)
$1-$149,24,0,4,0,0,9,3,0,0,53,Golden Point (Ballarat - Vic.)
$150-$299,15,11,7,6,12,8,21,11,0,85,Golden Point (Ballarat - Vic.)
$300-$399,3,24,18,9,16,22,45,43,8,194,Golden Point (Ballarat - Vic.)
$400-$499,5,13,16,11,9,23,49,28,7,162,Golden Point (Ballarat - Vic.)
$500-$649,6,24,22,21,14,24,33,14,6,166,Golden Point (Ballarat - Vic.)
$650-$799,0,27,30,16,21,13,20,12,8,154,Golden Point (Ballarat - Vic.)
$800-$999 ,0,19,40,23,28,22,18,8,4,160,Golden Point (Ballarat - Vic.)
"$1,000-$1,249",0,15,56,32,41,30,14,5,0,185,Golden Point (Ballarat - Vic.)
"$1,250-$1,499",0,6,47,36,27,16,13,0,0,149,Golden Point (Ballarat - Vic.)
"$1,500-$1,749",0,0,28,18,25,23,7,0,0,105,Golden Point (Ballarat - Vic.)
"$1,750-$1,999",0,0,29,20,26,14,6,0,0,88,Golden Point (Ballarat - Vic.)
"$2,000-$2,999",0,0,22,28,26,17,10,0,0,97,Golden Point (Ballarat - Vic.)
"$3,000-$3,499",0,0,0,5,3,5,0,0,0,16,Golden Point (Ballarat - Vic.)
"$3,500 or more",0,0,3,3,6,3,4,0,0,30,Golden Point (Ballarat - Vic.)
Personal income not stated,10,11,41,21,17,11,10,11,3,142,Golden Point (Ballarat - Vic.)
Total,110,171,374,254,290,274,253,137,43,1909,Golden Point (Ballarat - Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Hiawatha
$1-$149,0,0,0,0,0,0,0,0,0,0,Hiawatha
$150-$299,0,0,0,0,0,0,0,0,0,5,Hiawatha
$300-$399,0,0,0,0,0,0,0,0,0,0,Hiawatha
$400-$499,0,0,0,0,0,0,0,0,0,6,Hiawatha
$500-$649,0,0,0,0,0,0,0,0,0,0,Hiawatha
$650-$799,0,0,0,0,0,0,0,4,0,3,Hiawatha
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Hiawatha
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Hiawatha
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Hiawatha
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Hiawatha
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Hiawatha
"$2,000-$2,999",0,0,0,0,0,5,0,0,0,5,Hiawatha
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Hiawatha
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Hiawatha
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Hiawatha
Total,0,4,0,0,3,8,4,4,0,18,Hiawatha
Negative/Nil income,8,0,0,0,0,0,0,0,0,3,Hensley Park
$1-$149,0,0,0,0,0,0,0,0,0,4,Hensley Park
$150-$299,0,0,0,0,0,0,0,0,0,0,Hensley Park
$300-$399,0,0,0,5,0,0,0,0,0,4,Hensley Park
$400-$499,0,0,0,0,0,0,0,0,0,0,Hensley Park
$500-$649,0,0,4,0,0,0,0,0,0,10,Hensley Park
$650-$799,0,0,0,0,0,0,8,0,0,12,Hensley Park
$800-$999 ,0,3,0,3,0,0,0,0,0,6,Hensley Park
"$1,000-$1,249",0,0,5,0,0,0,0,0,0,9,Hensley Park
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Hensley Park
"$1,500-$1,749",0,0,0,0,4,0,0,0,0,10,Hensley Park
"$1,750-$1,999",0,0,0,3,0,0,0,0,0,0,Hensley Park
"$2,000-$2,999",0,0,0,0,0,5,0,0,0,9,Hensley Park
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Hensley Park
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Hensley Park
Personal income not stated,0,0,0,0,0,0,0,0,0,5,Hensley Park
Total,9,8,10,8,5,10,15,5,0,63,Hensley Park
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Willaura North
$1-$149,0,0,0,0,0,0,0,0,0,0,Willaura North
$150-$299,0,0,0,0,0,0,0,0,0,0,Willaura North
$300-$399,0,0,0,3,0,0,0,0,0,3,Willaura North
$400-$499,0,0,0,0,0,0,0,0,0,0,Willaura North
$500-$649,0,0,0,0,0,0,0,0,0,0,Willaura North
$650-$799,0,0,0,0,0,0,0,0,0,0,Willaura North
$800-$999 ,0,0,0,3,0,0,4,0,0,7,Willaura North
"$1,000-$1,249",0,0,3,0,0,0,0,0,0,3,Willaura North
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,6,Willaura North
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Willaura North
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Willaura North
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Willaura North
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Willaura North
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Willaura North
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Willaura North
Total,0,0,3,5,3,3,4,0,0,28,Willaura North
Negative/Nil income,5,0,0,0,0,0,0,0,0,5,Patyah
$1-$149,0,0,0,0,0,0,0,0,0,0,Patyah
$150-$299,0,0,0,0,0,0,0,0,0,0,Patyah
$300-$399,0,0,0,0,0,0,3,0,0,8,Patyah
$400-$499,0,0,0,0,0,0,0,0,0,0,Patyah
$500-$649,0,0,0,0,0,0,0,0,0,0,Patyah
$650-$799,0,0,0,0,0,4,0,0,0,3,Patyah
$800-$999 ,0,0,0,0,0,6,0,0,0,5,Patyah
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Patyah
"$1,250-$1,499",0,0,0,0,0,0,4,0,0,4,Patyah
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Patyah
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Patyah
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Patyah
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Patyah
"$3,500 or more",0,0,0,0,0,0,0,0,0,4,Patyah
Personal income not stated,0,0,0,0,3,6,0,0,0,6,Patyah
Total,3,0,4,8,4,19,9,3,0,47,Patyah
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$300-$399,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$400-$499,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$650-$799,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Myall (Buloke - Vic.)
Total,0,0,0,4,4,0,0,0,0,8,Myall (Buloke - Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Dundonnell
$1-$149,0,0,0,0,0,0,0,0,0,0,Dundonnell
$150-$299,0,0,0,0,0,0,0,0,0,4,Dundonnell
$300-$399,0,0,0,0,0,0,0,0,0,3,Dundonnell
$400-$499,0,0,0,0,0,0,0,0,0,4,Dundonnell
$500-$649,0,0,4,0,0,0,0,0,0,4,Dundonnell
$650-$799,0,0,0,0,0,3,5,0,0,8,Dundonnell
$800-$999 ,0,0,0,0,0,0,4,0,0,9,Dundonnell
"$1,000-$1,249",0,0,0,0,0,4,0,0,0,4,Dundonnell
"$1,250-$1,499",0,0,0,0,0,3,0,0,0,3,Dundonnell
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Dundonnell
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,5,Dundonnell
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Dundonnell
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Dundonnell
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Dundonnell
Personal income not stated,4,0,0,0,7,0,0,0,0,3,Dundonnell
Total,4,3,7,0,7,17,12,0,0,49,Dundonnell
Negative/Nil income,6,0,0,4,4,0,0,0,0,18,Nullawarre
$1-$149,0,0,0,0,0,0,0,0,0,6,Nullawarre
$150-$299,0,0,0,3,0,3,3,0,0,9,Nullawarre
$300-$399,0,0,0,0,0,3,0,4,0,14,Nullawarre
$400-$499,0,0,0,0,0,0,8,0,0,8,Nullawarre
$500-$649,0,4,0,3,0,5,0,0,0,18,Nullawarre
$650-$799,0,4,0,5,0,0,0,0,0,7,Nullawarre
$800-$999 ,0,7,6,3,0,5,0,0,0,18,Nullawarre
"$1,000-$1,249",0,0,3,8,0,0,4,4,0,22,Nullawarre
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,9,Nullawarre
"$1,500-$1,749",0,0,0,5,10,0,0,0,0,15,Nullawarre
"$1,750-$1,999",0,0,0,0,3,0,0,0,0,6,Nullawarre
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Nullawarre
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,4,Nullawarre
"$3,500 or more",0,0,3,0,4,0,0,0,0,10,Nullawarre
Personal income not stated,0,0,4,0,0,3,0,5,0,16,Nullawarre
Total,19,20,26,31,31,31,19,11,0,188,Nullawarre
Negative/Nil income,0,0,0,0,4,0,5,0,0,15,Denver
$1-$149,0,0,0,0,0,4,3,0,0,5,Denver
$150-$299,0,3,0,0,0,0,3,0,0,13,Denver
$300-$399,0,0,0,0,0,0,3,0,0,11,Denver
$400-$499,0,0,0,0,0,0,4,0,0,14,Denver
$500-$649,0,0,0,0,0,0,0,0,0,5,Denver
$650-$799,0,0,0,0,0,0,5,0,0,9,Denver
$800-$999 ,0,0,0,0,6,8,0,0,0,17,Denver
"$1,000-$1,249",0,0,0,3,0,0,0,0,0,6,Denver
"$1,250-$1,499",0,0,0,0,4,0,0,0,0,6,Denver
"$1,500-$1,749",0,0,0,0,4,3,0,0,0,6,Denver
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Denver
"$2,000-$2,999",0,0,0,0,3,4,0,0,0,4,Denver
"$3,000-$3,499",0,0,0,0,6,0,0,0,0,4,Denver
"$3,500 or more",0,0,0,0,0,3,6,0,0,7,Denver
Personal income not stated,0,0,0,0,0,4,7,6,0,17,Denver
Total,4,6,8,20,23,21,44,10,0,134,Denver
Negative/Nil income,10,4,0,0,0,0,7,0,0,38,Guys Hill
$1-$149,10,0,0,0,4,0,3,0,0,19,Guys Hill
$150-$299,6,6,0,0,0,4,0,0,0,18,Guys Hill
$300-$399,0,0,0,4,0,3,4,4,0,15,Guys Hill
$400-$499,0,3,0,4,4,6,7,0,0,13,Guys Hill
$500-$649,4,0,0,0,3,0,4,0,0,21,Guys Hill
$650-$799,0,0,0,3,5,0,9,0,0,20,Guys Hill
$800-$999 ,0,6,0,5,8,9,3,0,0,20,Guys Hill
"$1,000-$1,249",0,5,6,0,7,7,5,0,0,28,Guys Hill
"$1,250-$1,499",0,0,4,0,4,6,0,0,0,20,Guys Hill
"$1,500-$1,749",0,0,5,3,3,3,0,0,0,19,Guys Hill
"$1,750-$1,999",0,0,3,7,6,3,3,0,0,20,Guys Hill
"$2,000-$2,999",0,0,5,13,16,10,0,0,0,38,Guys Hill
"$3,000-$3,499",0,0,0,3,3,3,0,0,0,9,Guys Hill
"$3,500 or more",0,0,0,3,12,5,0,0,0,17,Guys Hill
Personal income not stated,0,0,3,3,8,0,7,4,0,22,Guys Hill
Total,41,30,33,36,78,49,41,15,8,332,Guys Hill
Negative/Nil income,20,4,3,0,3,8,3,4,0,47,Don Valley
$1-$149,4,0,3,4,4,4,0,3,0,24,Don Valley
$150-$299,4,0,5,10,3,3,0,5,0,30,Don Valley
$300-$399,0,0,5,4,3,9,7,7,0,37,Don Valley
$400-$499,0,7,3,4,3,8,9,8,5,45,Don Valley
$500-$649,3,9,13,4,4,7,5,0,0,42,Don Valley
$650-$799,0,3,0,12,3,8,11,6,0,39,Don Valley
$800-$999 ,0,0,0,4,5,8,6,0,0,28,Don Valley
"$1,000-$1,249",0,0,4,6,6,8,3,0,0,30,Don Valley
"$1,250-$1,499",0,5,0,7,11,12,4,0,0,35,Don Valley
"$1,500-$1,749",0,0,10,4,5,5,0,0,0,30,Don Valley
"$1,750-$1,999",0,0,0,4,0,6,0,0,0,14,Don Valley
"$2,000-$2,999",0,0,5,5,10,3,0,0,0,17,Don Valley
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,6,Don Valley
"$3,500 or more",0,0,0,0,0,3,0,0,0,4,Don Valley
Personal income not stated,4,0,3,6,6,13,9,3,0,46,Don Valley
Total,37,25,51,68,79,108,67,36,4,476,Don Valley
Negative/Nil income,212,23,38,64,45,81,56,20,11,536,Montmorency
$1-$149,121,29,12,21,24,27,50,19,0,297,Montmorency
$150-$299,54,50,32,29,25,35,65,43,14,348,Montmorency
$300-$399,16,42,38,31,29,43,108,76,24,414,Montmorency
$400-$499,22,36,25,29,33,58,141,112,33,493,Montmorency
$500-$649,23,52,44,63,59,75,136,80,23,553,Montmorency
$650-$799,12,46,55,61,62,78,123,76,7,514,Montmorency
$800-$999 ,5,42,55,95,82,80,100,42,7,511,Montmorency
"$1,000-$1,249",3,35,135,147,122,116,106,36,0,703,Montmorency
"$1,250-$1,499",0,23,119,115,105,88,52,19,0,522,Montmorency
"$1,500-$1,749",0,0,112,117,123,101,32,9,3,508,Montmorency
"$1,750-$1,999",0,0,83,123,129,81,19,9,0,451,Montmorency
"$2,000-$2,999",0,4,102,290,247,150,38,5,0,838,Montmorency
"$3,000-$3,499",0,0,22,67,74,17,4,0,0,187,Montmorency
"$3,500 or more",0,0,15,106,100,38,12,0,4,272,Montmorency
Personal income not stated,9,8,33,42,41,38,37,32,6,255,Montmorency
Total,470,392,921,1399,1297,1118,1078,570,148,7393,Montmorency
Negative/Nil income,0,0,0,0,0,3,4,0,0,16,Mount Moriac
$1-$149,6,0,0,0,0,0,0,0,0,15,Mount Moriac
$150-$299,0,0,0,0,0,0,3,0,0,11,Mount Moriac
$300-$399,0,0,3,0,0,0,0,0,0,8,Mount Moriac
$400-$499,0,0,0,0,0,4,4,0,0,13,Mount Moriac
$500-$649,0,0,0,0,0,0,6,6,0,11,Mount Moriac
$650-$799,0,0,0,0,4,3,0,0,0,10,Mount Moriac
$800-$999 ,0,3,5,0,0,4,0,0,0,17,Mount Moriac
"$1,000-$1,249",0,0,0,0,3,9,0,0,0,23,Mount Moriac
"$1,250-$1,499",0,0,0,3,10,5,0,0,0,21,Mount Moriac
"$1,500-$1,749",0,0,0,7,3,3,0,0,0,15,Mount Moriac
"$1,750-$1,999",0,0,0,8,6,0,0,0,0,14,Mount Moriac
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Mount Moriac
"$3,000-$3,499",0,0,0,5,3,0,0,0,0,7,Mount Moriac
"$3,500 or more",0,0,4,0,5,7,0,0,0,11,Mount Moriac
Personal income not stated,0,0,0,0,0,0,0,4,0,6,Mount Moriac
Total,16,19,21,29,35,28,24,18,3,196,Mount Moriac
Negative/Nil income,63,12,10,10,15,26,38,10,3,190,Elliminyt
$1-$149,81,0,0,3,3,13,12,3,6,126,Elliminyt
$150-$299,29,9,12,3,3,15,29,9,5,129,Elliminyt
$300-$399,9,9,20,10,15,27,49,61,13,203,Elliminyt
$400-$499,12,8,16,18,20,28,28,27,12,173,Elliminyt
$500-$649,10,15,20,40,30,27,39,23,9,204,Elliminyt
$650-$799,9,19,23,31,27,47,48,15,3,223,Elliminyt
$800-$999 ,10,35,47,48,57,39,22,16,0,266,Elliminyt
"$1,000-$1,249",4,33,62,52,67,54,20,4,0,299,Elliminyt
"$1,250-$1,499",0,13,43,46,38,35,15,4,0,198,Elliminyt
"$1,500-$1,749",0,8,21,31,44,35,6,0,0,144,Elliminyt
"$1,750-$1,999",0,0,16,37,39,30,5,6,0,128,Elliminyt
"$2,000-$2,999",0,0,23,36,54,30,8,0,0,156,Elliminyt
"$3,000-$3,499",0,0,3,10,9,5,0,0,0,25,Elliminyt
"$3,500 or more",0,0,0,16,17,7,6,0,0,47,Elliminyt
Personal income not stated,3,3,11,9,13,15,16,15,0,91,Elliminyt
Total,238,163,326,409,439,430,341,204,48,2598,Elliminyt
Negative/Nil income,5,0,0,0,0,3,4,0,0,17,Outtrim
$1-$149,5,0,0,0,0,0,0,0,0,4,Outtrim
$150-$299,0,0,0,0,0,4,0,0,0,7,Outtrim
$300-$399,0,3,4,0,3,0,6,0,0,11,Outtrim
$400-$499,0,0,0,0,0,5,7,3,0,15,Outtrim
$500-$649,0,3,0,0,4,7,5,0,0,29,Outtrim
$650-$799,0,0,0,0,4,9,3,0,0,22,Outtrim
$800-$999 ,0,0,5,3,5,0,0,0,0,18,Outtrim
"$1,000-$1,249",0,0,0,0,7,6,3,0,0,17,Outtrim
"$1,250-$1,499",0,0,0,0,7,3,0,0,0,12,Outtrim
"$1,500-$1,749",0,0,0,0,4,0,3,0,0,7,Outtrim
"$1,750-$1,999",0,0,0,0,5,0,0,0,0,6,Outtrim
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,11,Outtrim
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Outtrim
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Outtrim
Personal income not stated,6,0,5,3,7,5,5,4,0,25,Outtrim
Total,19,15,24,16,41,47,45,14,0,217,Outtrim
Negative/Nil income,69,6,13,18,16,27,33,15,4,207,Briar Hill
$1-$149,44,9,0,0,7,15,11,8,0,94,Briar Hill
$150-$299,11,13,4,10,4,6,13,12,8,90,Briar Hill
$300-$399,6,16,15,16,8,12,39,41,7,162,Briar Hill
$400-$499,10,15,7,7,22,20,43,54,17,189,Briar Hill
$500-$649,6,11,17,18,20,28,42,40,7,190,Briar Hill
$650-$799,0,15,23,24,31,24,42,23,0,178,Briar Hill
$800-$999 ,6,14,40,26,28,40,30,9,0,193,Briar Hill
"$1,000-$1,249",0,11,40,52,38,31,33,16,0,226,Briar Hill
"$1,250-$1,499",0,8,44,42,51,35,22,9,0,214,Briar Hill
"$1,500-$1,749",0,0,45,56,51,27,14,3,0,203,Briar Hill
"$1,750-$1,999",0,0,37,42,39,32,10,0,0,156,Briar Hill
"$2,000-$2,999",0,0,46,93,67,37,15,0,0,255,Briar Hill
"$3,000-$3,499",0,0,9,16,27,10,3,0,0,62,Briar Hill
"$3,500 or more",0,0,0,27,30,15,3,0,0,72,Briar Hill
Personal income not stated,4,9,12,10,21,10,20,16,4,111,Briar Hill
Total,158,127,359,470,456,370,371,242,53,2601,Briar Hill
Negative/Nil income,86,10,16,15,28,38,29,10,0,235,Tyabb
$1-$149,66,6,4,3,6,15,21,11,0,132,Tyabb
$150-$299,23,17,9,4,4,18,25,8,5,122,Tyabb
$300-$399,8,17,14,19,16,31,50,39,8,197,Tyabb
$400-$499,13,23,18,14,15,28,62,38,27,243,Tyabb
$500-$649,14,23,30,26,21,40,42,29,4,233,Tyabb
$650-$799,8,33,35,33,37,36,27,11,0,230,Tyabb
$800-$999 ,3,30,44,36,43,54,37,9,4,261,Tyabb
"$1,000-$1,249",0,24,56,41,76,62,26,5,3,290,Tyabb
"$1,250-$1,499",0,18,50,27,55,41,8,4,0,204,Tyabb
"$1,500-$1,749",0,9,54,39,40,30,10,3,0,184,Tyabb
"$1,750-$1,999",0,0,26,28,34,19,9,4,0,122,Tyabb
"$2,000-$2,999",0,0,37,39,54,36,11,3,5,184,Tyabb
"$3,000-$3,499",0,0,6,7,12,13,0,0,0,33,Tyabb
"$3,500 or more",0,0,4,8,22,17,7,3,0,66,Tyabb
Personal income not stated,18,12,10,16,25,24,10,12,4,133,Tyabb
Total,245,212,423,356,496,517,374,187,64,2872,Tyabb
Negative/Nil income,15,5,4,5,3,9,3,0,0,54,Tangambalanga
$1-$149,16,0,5,0,0,0,0,0,0,23,Tangambalanga
$150-$299,0,3,0,5,0,0,0,3,0,17,Tangambalanga
$300-$399,0,0,6,3,4,12,15,11,0,51,Tangambalanga
$400-$499,0,0,9,0,3,8,15,12,3,52,Tangambalanga
$500-$649,0,7,9,5,4,11,6,0,0,51,Tangambalanga
$650-$799,0,7,7,4,8,7,4,3,0,42,Tangambalanga
$800-$999 ,0,17,13,8,8,11,5,0,0,56,Tangambalanga
"$1,000-$1,249",0,13,15,23,12,12,0,0,0,77,Tangambalanga
"$1,250-$1,499",0,4,24,5,10,7,0,0,0,50,Tangambalanga
"$1,500-$1,749",0,0,16,11,12,11,0,0,0,55,Tangambalanga
"$1,750-$1,999",0,0,15,12,12,6,0,0,0,39,Tangambalanga
"$2,000-$2,999",0,0,10,18,15,5,3,0,0,51,Tangambalanga
"$3,000-$3,499",0,0,0,0,4,0,0,0,0,4,Tangambalanga
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Tangambalanga
Personal income not stated,0,4,8,4,3,4,6,8,0,37,Tangambalanga
Total,42,53,147,117,94,105,63,43,8,656,Tangambalanga
Negative/Nil income,182,39,50,43,48,75,50,19,3,512,Sebastopol (Vic.)
$1-$149,95,14,16,17,29,20,20,9,6,224,Sebastopol (Vic.)
$150-$299,62,48,69,44,52,67,60,30,24,453,Sebastopol (Vic.)
$300-$399,25,61,71,71,84,122,251,183,49,920,Sebastopol (Vic.)
$400-$499,30,62,90,83,92,140,268,207,92,1073,Sebastopol (Vic.)
$500-$649,26,91,170,105,114,124,155,82,40,916,Sebastopol (Vic.)
$650-$799,20,116,190,118,89,108,96,61,16,810,Sebastopol (Vic.)
$800-$999 ,6,112,233,147,139,106,50,16,6,820,Sebastopol (Vic.)
"$1,000-$1,249",3,65,236,189,142,140,28,10,4,823,Sebastopol (Vic.)
"$1,250-$1,499",0,32,132,97,83,75,17,4,7,447,Sebastopol (Vic.)
"$1,500-$1,749",0,5,87,79,49,56,14,9,0,309,Sebastopol (Vic.)
"$1,750-$1,999",0,0,50,38,32,23,10,0,0,152,Sebastopol (Vic.)
"$2,000-$2,999",0,0,33,49,31,32,6,0,0,142,Sebastopol (Vic.)
"$3,000-$3,499",0,0,4,0,4,4,0,0,0,13,Sebastopol (Vic.)
"$3,500 or more",0,4,0,7,4,5,8,4,0,40,Sebastopol (Vic.)
Personal income not stated,72,64,101,87,104,88,127,101,59,801,Sebastopol (Vic.)
Total,526,719,1543,1167,1101,1193,1163,746,303,8463,Sebastopol (Vic.)
Negative/Nil income,341,40,51,61,47,71,71,26,5,699,Strathmore (Vic.)
$1-$149,175,38,5,12,14,27,28,16,0,322,Strathmore (Vic.)
$150-$299,87,66,24,18,18,37,57,17,16,330,Strathmore (Vic.)
$300-$399,31,36,31,31,27,35,76,63,36,372,Strathmore (Vic.)
$400-$499,21,45,23,28,37,57,81,72,45,387,Strathmore (Vic.)
$500-$649,10,67,35,45,55,78,94,39,16,449,Strathmore (Vic.)
$650-$799,9,54,39,61,50,76,68,39,14,416,Strathmore (Vic.)
$800-$999 ,9,61,74,59,94,90,65,31,6,482,Strathmore (Vic.)
"$1,000-$1,249",0,68,102,97,109,123,71,22,17,601,Strathmore (Vic.)
"$1,250-$1,499",0,51,105,69,114,99,50,10,5,509,Strathmore (Vic.)
"$1,500-$1,749",0,15,96,124,143,92,44,13,5,532,Strathmore (Vic.)
"$1,750-$1,999",0,4,59,83,123,84,33,6,4,390,Strathmore (Vic.)
"$2,000-$2,999",0,4,96,238,243,148,38,9,0,775,Strathmore (Vic.)
"$3,000-$3,499",0,0,20,67,86,45,19,3,0,247,Strathmore (Vic.)
"$3,500 or more",0,0,16,148,204,107,21,5,0,504,Strathmore (Vic.)
Personal income not stated,20,24,36,33,57,36,35,14,19,269,Strathmore (Vic.)
Total,704,566,821,1151,1422,1197,847,387,188,7288,Strathmore (Vic.)
Negative/Nil income,0,0,0,0,5,6,4,0,0,20,Maindample
$1-$149,0,0,0,0,0,0,0,0,0,8,Maindample
$150-$299,0,0,0,0,0,0,9,0,0,18,Maindample
$300-$399,0,0,0,0,0,7,9,3,0,18,Maindample
$400-$499,0,3,0,0,0,0,3,0,0,14,Maindample
$500-$649,0,0,0,0,0,3,3,0,0,11,Maindample
$650-$799,0,0,5,0,0,0,0,0,0,14,Maindample
$800-$999 ,0,0,0,0,5,3,0,0,0,15,Maindample
"$1,000-$1,249",0,0,4,9,5,3,7,0,0,17,Maindample
"$1,250-$1,499",0,0,3,6,8,3,0,0,0,13,Maindample
"$1,500-$1,749",0,0,0,6,0,3,0,0,0,10,Maindample
"$1,750-$1,999",0,0,0,0,0,3,0,0,0,3,Maindample
"$2,000-$2,999",0,0,4,4,0,0,0,0,0,9,Maindample
"$3,000-$3,499",0,0,0,0,0,4,0,0,0,7,Maindample
"$3,500 or more",0,0,3,0,0,3,0,0,0,11,Maindample
Personal income not stated,0,0,0,0,0,0,0,0,0,8,Maindample
Total,13,10,25,35,32,37,35,8,0,190,Maindample
Negative/Nil income,4,0,0,0,4,0,0,0,0,6,Caveat
$1-$149,0,0,0,0,0,0,0,0,0,0,Caveat
$150-$299,0,0,0,0,0,0,0,0,0,3,Caveat
$300-$399,0,0,0,0,0,0,0,0,0,3,Caveat
$400-$499,0,0,0,0,0,0,0,0,0,0,Caveat
$500-$649,0,0,0,0,0,0,0,0,0,4,Caveat
$650-$799,0,0,0,0,3,0,0,0,0,6,Caveat
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Caveat
"$1,000-$1,249",0,0,0,0,0,4,0,0,0,3,Caveat
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Caveat
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Caveat
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Caveat
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Caveat
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Caveat
"$3,500 or more",0,0,0,0,4,0,0,0,0,0,Caveat
Personal income not stated,0,0,0,0,0,4,0,0,0,0,Caveat
Total,3,0,3,5,13,18,7,3,0,54,Caveat
Negative/Nil income,8,0,0,0,0,3,3,4,0,16,Swanpool
$1-$149,0,0,0,5,0,0,3,0,0,8,Swanpool
$150-$299,6,0,0,0,0,0,5,0,0,10,Swanpool
